0: artist
1: artistIds
2: asciiName
3: attractionLights
4: availability
5: boosterTypes
6: borderColor
7: cardParts
8: colorIdentity
9: colorIndicator
10: colors
11: defense
12: duelDeck
13: edhrecRank
14: edhrecSaltiness
15: faceConvertedManaCost
16: faceFlavorName
17: faceManaValue
18: faceName
19: facePrintedName
20: finishes
21: flavorName
22: flavorText
23: frameEffects
24: frameVersion
25: hand
26: hasAlternativeDeckLimit
27: hasContentWarning
28: hasFoil
29: hasNonFoil
30: isAlternative
31: isFullArt
32: isFunny
33: isGameChanger
34: isOnlineOnly
35: isOversized
36: isPromo
37: isRebalanced
38: isReprint
39: isReserved
40: isStarter
41: isStorySpotlight
42: isTextless
43: isTimeshifted
44: keywords
45: language
46: layout
47: leadershipSkills
48: life
49: loyalty
50: manaCost
51: manaValue
52: name
53: number
54: originalPrintings
55: originalReleaseDate
56: originalText
57: otherFaceIds
58: power
59: printedName
60: printedText
61: printedType
62: printings
63: promoTypes
64: rarity
65: rebalancedPrintings
66: relatedCards
67: securityStamp
68: setCode
69: side
70: signature
71: sourceProducts
72: subsets
73: subtypes
74: supertypes
75: text
76: toughness
77: type
78: types
79: uuid
80: variations
81: watermark
